"filename", "language", "JSON", "Markdown", "Batch", "JavaScript", "comment", "blank", "total"
"c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\purge.js", "JavaScript", 0, 0, 0, 63, 0, 6, 69
"c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\role.js", "JavaScript", 0, 0, 0, 47, 0, 10, 57
"c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\unban.js", "JavaScript", 0, 0, 0, 35, 0, 7, 42
"c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\unmute.js", "JavaScript", 0, 0, 0, 61, 0, 10, 71
"c:\Users\Arian\Documents\bots\little devil\src\commands\moderation\warn.js", "JavaScript", 0, 0, 0, 86, 2, 15, 103
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\catchSetting.js", "JavaScript", 0, 0, 0, 61, 0, 9, 70
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\joinset.js", "JavaScript", 0, 0, 0, 54, 0, 5, 59
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\logset.js", "JavaScript", 0, 0, 0, 69, 0, 8, 77
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\muteset.js", "JavaScript", 0, 0, 0, 95, 1, 14, 110
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\perms.js", "JavaScript", 0, 0, 0, 110, 0, 13, 123
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\prefix.js", "JavaScript", 0, 0, 0, 29, 0, 5, 34
"c:\Users\Arian\Documents\bots\little devil\src\commands\settings\settings.js", "JavaScript", 0, 0, 0, 48, 2, 10, 60
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\activity.js", "JavaScript", 0, 0, 0, 35, 1, 8, 44
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\avatar.js", "JavaScript", 0, 0, 0, 40, 0, 5, 45
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\bans.js", "JavaScript", 0, 0, 0, 21, 0, 3, 24
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\botinfo.js", "JavaScript", 0, 0, 0, 34, 0, 6, 40
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\colorcheck.js", "JavaScript", 0, 0, 0, 51, 0, 8, 59
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\embedBuilder.js", "JavaScript", 0, 0, 0, 82, 1, 7, 90
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\help.js", "JavaScript", 0, 0, 0, 118, 2, 13, 133
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\imgsearch.js", "JavaScript", 0, 0, 0, 67, 0, 9, 76
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\math.js", "JavaScript", 0, 0, 0, 30, 0, 4, 34
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\members.js", "JavaScript", 0, 0, 0, 20, 0, 5, 25
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\msg.js", "JavaScript", 0, 0, 0, 83, 0, 14, 97
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\ping.js", "JavaScript", 0, 0, 0, 19, 0, 4, 23
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\profile.js", "JavaScript", 0, 0, 0, 83, 0, 12, 95
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\remind.js", "JavaScript", 0, 0, 0, 45, 0, 9, 54
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\roleManager.js", "JavaScript", 0, 0, 0, 96, 0, 19, 115
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\roleinfo.js", "JavaScript", 0, 0, 0, 55, 0, 9, 64
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\snipe.js", "JavaScript", 0, 0, 0, 36, 0, 8, 44
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\translate.js", "JavaScript", 0, 0, 0, 39, 0, 5, 44
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\user.js", "JavaScript", 0, 0, 0, 36, 0, 5, 41
"c:\Users\Arian\Documents\bots\little devil\src\commands\utility\youtube.js", "JavaScript", 0, 0, 0, 69, 6, 11, 86
"c:\Users\Arian\Documents\bots\little devil\src\inhibitor\blacklist.js", "JavaScript", 0, 0, 0, 13, 0, 2, 15
"c:\Users\Arian\Documents\bots\little devil\src\listeners\client\disconnect.js", "JavaScript", 0, 0, 0, 17, 0, 2, 19
"c:\Users\Arian\Documents\bots\little devil\src\listeners\client\ready.js", "JavaScript", 0, 0, 0, 22, 0, 8, 30
"c:\Users\Arian\Documents\bots\little devil\src\listeners\command\blocker.js", "JavaScript", 0, 0, 0, 23, 0, 6, 29
"c:\Users\Arian\Documents\bots\little devil\src\listeners\command\cooldown.js", "JavaScript", 0, 0, 0, 16, 0, 4, 20
"c:\Users\Arian\Documents\bots\little devil\src\listeners\command\error.js", "JavaScript", 0, 0, 0, 13, 0, 3, 16
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\automod.js", "JavaScript", 0, 0, 0, 33, 5, 9, 47
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\catch.js", "JavaScript", 0, 0, 0, 42, 1, 11, 54
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\guildBanAdd.js", "JavaScript", 0, 0, 0, 46, 1, 12, 59
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\guildBanRemove.js", "JavaScript", 0, 0, 0, 36, 1, 9, 46
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\leveler.js", "JavaScript", 0, 0, 0, 80, 1, 17, 98
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\memberAdd.js", "JavaScript", 0, 0, 0, 46, 0, 10, 56
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\memberRemove.js", "JavaScript", 0, 0, 0, 62, 0, 14, 76
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\message.js", "JavaScript", 0, 0, 0, 19, 0, 7, 26
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\messageDelete.js", "JavaScript", 0, 0, 0, 24, 1, 6, 31
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\messageEdit.js", "JavaScript", 0, 0, 0, 18, 1, 5, 24
"c:\Users\Arian\Documents\bots\little devil\src\listeners\server\newChannel.js", "JavaScript", 0, 0, 0, 19, 0, 3, 22
"c:\Users\Arian\Documents\bots\little devil\src\models\tags.js", "JavaScript", 0, 0, 0, 22, 0, 5, 27
"c:\Users\Arian\Documents\bots\little devil\src\structures\client.js", "JavaScript", 0, 0, 0, 84, 0, 13, 97
"c:\Users\Arian\Documents\bots\little devil\src\structures\keyvSettings.js", "JavaScript", 0, 0, 0, 3, 0, 2, 5
"c:\Users\Arian\Documents\bots\little devil\src\structures\modLogHandler.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Arian\Documents\bots\little devil\src\structures\modLogs.js", "JavaScript", 0, 0, 0, 120, 1, 21, 142
"c:\Users\Arian\Documents\bots\little devil\src\structures\redis.js", "JavaScript", 0, 0, 0, 374, 0, 39, 413
"c:\Users\Arian\Documents\bots\little devil\src\structures\taskManager.js", "JavaScript", 0, 0, 0, 45, 0, 14, 59
"c:\Users\Arian\Documents\bots\little devil\start.bat", "Batch", 0, 0, 6, 0, 0, 1, 7
"Total", "-", 3490, 14, 6, 4998, 35, 866, 9409
